fr,en
imaginez weaver manipule cassie en lui envoyant des visions clairement trompeuses,imagine weaver manipulating cassie by sending him clearly deceptive visions
et tu vois que au finalement c'est nephis qui a fait expres de perdre donc la vision n'etait vraiment pas une aide la dessus,and you see that in the end it was nephis who made expres to lose so the vision really was not a helper on it
au final c'est ce qui est arrive,in the end that is what happened
il y a un affrontement ou la lumiere se fait devorer par les tenebres -- sunny qui bat nephis,there is a confrontation where the light gets eaten by the tenebres -- sunny beating nephis
les ombre devore la lumiere,shadows devour light
il etait juste question d'un affrontement il me semble,it was just about a confrontation it seems to me
nan c'est ce qu'elle a cru voir,that is what she thought she saw
cest vrai que ses premiere vision sont pas claire,it is true that his first vision is not clear
la vision etait pas clair dessus,the vision was not clear on it
cassie pensais que sunny allait tuer neph,cassie thought sunny was going to kill neph
parce que sunny aurait tue nephis,because sunny would kill nephis
pas forcement de l'abandonner,not necessarily to abandon him
pour sauver nephis surtout,to save nephis especially
pas forcement juste de l'empecher de tuer nephis,not necessarily just to stop him from killing nephis
oe mais elle a pas change sa vision,o but she did not change her vision
juste on est daccord quelle a donne le nom de sunny a nephis dans lespoir que ca lui permette de laisse sunny la et de sortir du rivage oublie en changeant sa vision,just we are okay what gave the name of sunny nephis in the hope that it would allow her to leave sunny there and get out of the shore forgets changing her vision
reel point pour cassie,real point for breakie
nan c'est pas des vraies excuses mais ca montre qu'elle regrette de fou,nan it is not real excuses but it shows that she regrets crazy
tu esclavagie ton meilleur pote ensuite tu veux te faire pardonner en souhaitant anniv shibalaugh,you scavage your best friend then you want to make up for it by wishing anniv shibalaugh
on pardonne tout,we forgive everything
ouais sunny avait aucune idee de ce do not elle parlait je peux pas vraiment compte ca comme des vrais excuses,yeah sunny had no idea what she was talking about
oa t'es tellement matrixe que meme ton correcteur auto s'y metshibalaugh,oa you are so big that even your auto-corrector gets into it
en plus c'est la seul qui lui souhaite ses anniversaires,plus she is the only one who wants her birthdays
elle avait juste trop de remords pour lui dire pq,she just had too much remorse to tell her pq
et rien ne nous dit que tout n'est pas calcule depuis le debut,and nothing tells us that everything is not calculated since the beginning
pas quand tu connait toute ta vie a lavance,not when you know your whole life ahead
- ans tu fais souvent des erreurs,- years you often make mistakes
elle s'est excusee des qu'ils sont sortis de l'arbre,she apologized when they came out of the tree
non shibalaugh,non-shibalaugh
c'est la plus jeune du groupe,this is the youngest in the group
cassie je crois,cassie i think
un truc du genre,something like that
ils avaient quel age au rivage oublie ils etaient jeunes donc on peut classer ca comme erreur de jeunesse,they had what age on the shore forget they were young so we can classify it as a youth error
et ben du coup je pense que ces visions peuvent changer sachant qua ce moment sunny faisait partie du destin,and so i think these visions can change knowing that this sunny moment was part of destiny
mais bon elle est pas honnete avec lui et puis jai pas vraiment accepter le coup du rivage oublier et ne fait quelle se soit pas excuse non la bouteille ca compte pas si il est pas au courant de ce do not elle sexcuse ca sert a rien,but she is not honest with him and then i do not really accept the shore blow forget and do not make any excuses no the bottle does not matter if he is not aware of this do not she apologizes it is no use
oui elle en a eu,yes she did
avant elle connaissait la date de la mort de ses parents de la sienne et peut-etre des membres de la cohorte jsp,before she knew the date of death of her parents and perhaps members of the cohort jsp
je parle de vision dapres le e cauchemars quelle aurait eu avant que sunny soit libere,i am talking about vision after the nightmares that would have had before sunny was free
elle en a eu,she had some
peut-etre un peu shibalaugh,maybe a little shibalaugh
je pense que si elle a eu des vision dapres le e cauchemar sunny peut les changer comme il est liberer du destin car le destin avait probablement pas pris en compte le fait que quelquun lui echappe,i think if she had visions after the sunny nightmare can change them as he is liberating from destiny because fate had probably not taken into account the fact that someone escapes her
pour moi tu es juste dans le deni a vouloir ressentir de la haine pour cassie,for me you are just in the deni wanting to feel hate for cassie
elle pouvait pas le savoir,she could not know
elle avait au moins une suspicion sur le fait que ca pourrait se passer comme ca,she had at least one suspicion that this might happen
ses visions ont ete changes a because de sunny ou elles ont pris en compte le fait que sunny soit fateless,his visions have been changed to a sunny beak or they have taken into account the fact that sunny is fatless
ca aurait servi a rien si elle loubli quand elle relu ses notes,it would not have helped if she forgot when she read her notes
mais la question est,but the question is
c'est sur,that is for sure
elle savait pas tout je pense plus qu'elle a prevu des solutions,she did not know everything i think she planned solutions
parce que oui elle a vu plus loin que le eme,because yes she saw further than the same
si elle savait qu'elle allait tout oublier elle aurait tout note logiquement mais elle ne l'a pas fait,if she knew she was going to forget everything she would logically note everything but she did not
oui il est fou et tetu shibalaugh et sunny futur le sait tres bien il la probablement avertie juste par principe en sachant que ca servait a rien ce que cassie na pas fait,yes he is crazy and tetu shibalaugh and sunny future knows very well he probably warns her just by principle knowing that it served nothing that cassie did not do
oui mais ca aurait pas ete pareil fin si du coup shibalaugh,yeah but it would not have been the same end if it were shibalaugh
dans tt les cas il est fou ce type donc impossible a convaincre,in any case he is crazy this guy so impossible to convince
enft jcomprends pas comment tu peux reprocher ca a cassie alors que ce trou du cul de sunny y est alle alors que lui meme dans le futur qui a fait ce choix lui a dit non,i do not understand how you can blame it for a breakie when that asshole of sunny went there while he even in the future who made that choice told him no
